2021-03-14 12:04:11 DEBUG Controller:165 - updateExpensesHandler called
2021-03-14 12:04:23 DEBUG DriverManagerConnectionProviderImpl:269 - Connection pool now considered primed; min-size will be maintained
2021-03-14 12:25:50 DEBUG logging:28 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2021-03-14 12:25:50 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2021-03-14 12:25:50 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2021-03-14 12:25:50 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2021-03-14 12:25:50 INFO  Version:44 - HHH000412: Hibernate ORM core version 5.4.28.Final
2021-03-14 12:25:50 DEBUG Environment:199 - HHH000206: hibernate.properties not found
2021-03-14 12:25:50 DEBUG LocalXmlResourceResolver:63 - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
2021-03-14 12:25:50 DEBUG LocalXmlResourceResolver:91 - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
2021-03-14 12:25:50 DEBUG JaxbCfgProcessor:117 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2021-03-14 12:25:50 DEBUG Configuration:722 - Building session factory using internal StandardServiceRegistryBuilder
2021-03-14 12:25:50 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2021-03-14 12:25:50 DEBUG Configuration:652 - Building session factory using provided StandardServiceRegistry
2021-03-14 12:25:50 DEBUG RegionFactoryInitiator:118 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2021-03-14 12:25:50 DEBUG RegionFactoryInitiator:49 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2021-03-14 12:25:50 INFO  Version:56 - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration boolean -> org.hibernate.type.BooleanType@13e547a9
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration boolean -> org.hibernate.type.BooleanType@13e547a9
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@13e547a9
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@18b0930f
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@256f8274
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration yes_no -> org.hibernate.type.YesNoType@68fa0ba8
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration byte -> org.hibernate.type.ByteType@3f6db3fb
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration byte -> org.hibernate.type.ByteType@3f6db3fb
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@3f6db3fb
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration character -> org.hibernate.type.CharacterType@2a79d4b1
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration char -> org.hibernate.type.CharacterType@2a79d4b1
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@2a79d4b1
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration short -> org.hibernate.type.ShortType@63fdab07
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration short -> org.hibernate.type.ShortType@63fdab07
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@63fdab07
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration integer -> org.hibernate.type.IntegerType@5a411614
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration int -> org.hibernate.type.IntegerType@5a411614
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@5a411614
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration long -> org.hibernate.type.LongType@38f116f6
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration long -> org.hibernate.type.LongType@38f116f6
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@38f116f6
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration float -> org.hibernate.type.FloatType@48a12036
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration float -> org.hibernate.type.FloatType@48a12036
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@48a12036
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration double -> org.hibernate.type.DoubleType@4e70a728
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration double -> org.hibernate.type.DoubleType@4e70a728
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@4e70a728
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@f478a81
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@f478a81
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@73dce0e6
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@73dce0e6
2021-03-14 12:25:51 DEBUG BasicTypeRegistry:157 - Adding type registration string -> org.hibernate.type.StringType@47c4ecdc
